,method,device1,device2,device3,device4,curvature,$W$,$H$,$L$,$A{_3}$,$A{_1}$,$W$$/$$H$,$A{_2}$$/$$A{_1}$,${\rho}_\mathrm{d}$,${\rho}_\mathrm{c}$,$\mu_\mathrm{d}$,$\mu_\mathrm{c}$,$\gamma$,$\mu_\mathrm{d}$$/$$\mu_\mathrm{c}$,$Q_\mathrm{d}$,$Q_\mathrm{c}$,$u_\mathrm{d}$,$u_\mathrm{c}$,$Q_\mathrm{d}$$/$$Q_\mathrm{c}$,$u_\mathrm{d}$$/$$u_\mathrm{c}$,$\mu_\mathrm{c}$$u_\mathrm{c}$,$d_\mathrm{av}$$/$$d_\mathrm{e}$
70,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,1200.0,0.0414466,0.104408895,0.041666667,0.396964262,0.101811672,0.6138832841469121
71,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,1600.0,0.0414466,0.13921186,0.03125,0.297723197,0.135748895,0.5734336103852938
72,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,100.0,600.0,0.082893199,0.052204447,0.166666667,1.587857046,0.050905835,0.86371950443926
73,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,100.0,800.0,0.082893199,0.06960593,0.125,1.190892773,0.067874448,0.7756819791933851
74,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,100.0,1000.0,0.082893199,0.087007412,0.1,0.952714224,0.084843059,0.7328529128575539
75,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,100.0,1200.0,0.082893199,0.104408895,0.083333333,0.793928515,0.101811672,0.6924032390959357
76,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,100.0,1600.0,0.082893199,0.13921186,0.0625,0.595446387,0.135748895,0.6210214618695507
77,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,400.0,0.0207233,0.037426062,0.0625,0.553713078,0.066711956,0.7574677470117807
78,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,600.0,0.0207233,0.056139093,0.041666667,0.369142052,0.100067933,0.6826382366171839
79,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,800.0,0.0207233,0.074852124,0.03125,0.276856539,0.133423911,0.6047821249221702
80,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,1000.0,0.0207233,0.093565156,0.025,0.221485229,0.166779891,0.5750196383067798
81,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,1200.0,0.0207233,0.112278187,0.020833333,0.184571024,0.200135868,0.5347896086369771
82,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,25.0,1600.0,0.0207233,0.149704249,0.015625,0.138428269,0.266847824,0.47762147332810906
83,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,50.0,400.0,0.0414466,0.037426062,0.125,1.107426157,0.066711956,0.8538200650993418
84,1.0,0.0,0.0,1.0,0.0,0.0,0.608988,0.2925,0.608988,0.020106193,0.17812899,2.082010256,1.0,695.35,995.9485121,0.4905,1.7825,4.79,0.275175316,50.0,600.0,0.0414466,0.056139093,0.083333333,0.738284104,0.100067933,0.7697227039863191
